Title,Director,Cast,Genre,Music,year,language,industry
Kalidas,H. M. Reddy,"T. P. Rajalakshmi, P. G. Venkatesan, L. V. Prasad",,Madhurakavi Bhaskara Das,1931,Tamil,Kollywood
Harichandra (Sampoorna Harichandra),"Sarvottam Badami, T. C. Vadivelu Naicker","V. S Sunderasa Iyer, D. R. Muthulakshmi, T. P. Rajalakshmi",,Raja Chandrasekar,1932,Tamil,Kollywood
Kalava (Galavarishi),P. B. Rangachari,"P. B. Rangachari, V. S. Sunderasa Iyer, T. R. Muthulakshmi",,G. Sundara Bhagavathar,1932,Tamil,Kollywood
Paarijaatha Pushpaha ragam,P. K. Raja Sandow,"R. Nagendra Rao, K. T. Rukmani, Leela, Narasmimma Rao",,,1932,Tamil,Kollywood
Ramayanam,,"T. P. Rajalakshmi, T. S. Mani",,,1932,Tamil,Kollywood
Kovalan,,"R. Nagendra Rao, T. P. Rajalakshmi, K. T. Rukmani, Leela",,,1933,Tamil,Kollywood
Nanthanar,,"Subbaiah Thevar, Angamuthu",,,1933,Tamil,Kollywood
Prahalaathaa,,,,,1933,Tamil,Kollywood
Sathyavaan Savithiri,,"M. R. Krishnamurthi, T. S. Mani, T. P. Rajalakshmi",,,1933,Tamil,Kollywood
Valli,P.V. Rao,"T. S. Santhanam, Pankajam",,,1933,Tamil,Kollywood
Valli Thirumanam,P. V. Rao,"C. M. Duraisamy, T. V. Sundaram, T. P. Rajalakshmi",,Lyricist: Baskaradas,1933,Tamil,Kollywood
Bama Vijayam,Manik Lal Tandon,"M. R. Krishhnamurthi, G. N. Balasubramaniam, P. S. Rathna Bai, P. S. Saraswathi Bai, M. S. Murugesan, K. S. Angamuthu",,K. Tyagaraja Desigar,1934,Tamil,Kollywood
Dasavathaaram,,,,,1934,Tamil,Kollywood
Draupadhi Vastrapaharanam,R. Padmanaban,"V. A. Chellappa, T. S. Vasudeva Pillai, C. S. Ramanna, C. V. V. Panthulu, T. P. Rajalakshmi, P. S. Sivabagyam",,,1934,Tamil,Kollywood
Draupadhi Vastrapaharanam,R. Prakash,"T. S. Sandhanam, K. R. Saradhambal",,,1934,Tamil,Kollywood
Pavalakkodi,K. Subramanyam,"M. K. Thyagaraja Bhagavathar, S. D. Subbulakshmi, Sundarambal, S. S. Mani Bhagavathar",,Papanasam Sivan,1934,Tamil,Kollywood
Sakkubai,Sundar Rao Nadkarni,"Madurai Asari, K. R. Saradhambal",,,1934,Tamil,Kollywood
Sakuntala,P. V. Rao,"P. S. Velu Nair, M. S. Murugesan, L. Narayanarao, T. M. Ramasamy, T. S. Velammal, Santhadevi",,,1934,Tamil,Kollywood
Sangeetha Lava Kusa[3],S. Soundararajan (Tamil Nadu Talkies),"Vidvan Srinivasan, Seetha Narayanan, Lakshmi",,Harikesanallur Muthiah Bhagavatar,1934,Tamil,Kollywood
Sathi Sulochana,Pammal Sambandha Mudaliar,"M. G. Nataraja Pillai, T. N. Nataraja Pillai, A. R. Sarangapani, P. Subbaya Thevar, Nagarkovil Sundarambal, T. K. Rukmani, Sulochana",,Janarthanam,1934,Tamil,Kollywood
Sita Kalyanam,Baburao Phendharkar,"S. Rajam, G. K. Seshagiri, Veenai S. Balachandar, V. Sundaram Iyer, S. Jayalakshmi",,"Papanasam Sivan, A. N. Kalyanasundaram",1934,Tamil,Kollywood
Seetha Vanavaasam,,,,,1934,Tamil,Kollywood
Sri Krishnaleela,P. V. Rao,"C. S. Jayaraman, C. S. Ramanna, C. V. V Panthulu, M. S. Muthukrishnan, P. S. Sivabagyam, K. S. Rajambal",,,1934,Tamil,Kollywood
Srinivaasa Kalyaanam,A. Narayanan,"P. S. Srinivasa Rao, Serukulathur Sama, R. B. Lakshmi Devi, P. S. Kamalaveni",,C. R. S. Murthy,1934,Tamil,Kollywood
Alli Arjuna,,"Abdul Khadar, K. S. Ananda Narayana Iyer, K. R. Kanthimathi Bai, T. S. Bhavani Bai, L. Narayana Rao[6]",,,1935,Tamil,Kollywood
Athiroopa Amaravathi,C. V. Raman,"Sivakozhundu, P. M. Sundara Bashyam, K. K. Thangavelu, T. S. Velammal, Ranganayaki",,,1935,Tamil,Kollywood
Bhakta Nandanar,Manik Lal Tandon,"K. B. Sundarambal, Maharajapuram Viswanatha Iyer",,,1935,Tamil,Kollywood
Baktha Ramadas,Murugadasa,"Nawab T. S. Rajamanikkam Pillai, K. Sarangkapani, M. N. Nambiar, T. S. Kalyanam",,,1935,Tamil,Kollywood
Bhaktha Dhuruvan,P .V. Rao,"C. S. Gopala Krishnan, C. S. Samanna, P. S. Sivabagyam, Sivaramalingam Pillai, S. R. Gnanakibai, C. S. Jayaraman",,C. S. Jayaraman,1935,Tamil,Kollywood
Chandrasaena,V. Shantaram,"Seshadri Sundarrajan, P. S. Srinivasan, K. Natarajan, T. T. Kanagam, S. Pankajam",,,1935,Tamil,Kollywood
Dumbachary,Manik Lal Tandon,"M. R. Krishnamoorthi, C. S. Samanna, M. S. Ragavan, P. S. Rathna Bai, P. S. Saraswathi Bai, M. S. Murugesan",,,1935,Tamil,Kollywood
Dhuruvaa Sarithram,,"M. S. Thangappa, V. Swaminathan, R. B. Lakshmi Devi, P. S. Gnanaambal",,,1935,Tamil,Kollywood
Gnanasounthari,A. Narayanan,"Srinivasa Rao, Sarojini",,,1935,Tamil,Kollywood
Gopalakrishna,,"S. Rajam, Gowri",,,1935,Tamil,Kollywood
Harichandra,Prafula Ghosh,"T. P. Rajalakshmi, V. A. Chellappa, K. T. Rukumani, M. S. Ramachandran Iyer",,,1935,Tamil,Kollywood
Kausalya,,"P. S. V. Iyer, R. Chellam",,,1935,Tamil,Kollywood
Kulepakaavali,S. Soundararajan,"V. A. Chellappa, M. S. Ramachandran, T. P. Rajalakshmi, Rajeswari, Rani Bala",,,1935,Tamil,Kollywood
Lalithangi,,"T. P. Rajalakshmi, V. A. Chellappa, T. V. Sundaram, M. S. Ramachandran Iyer, Kamala",,,1935,Tamil,Kollywood
Lanka Dhakanam,,"A. Rangasami Naidu, M. S. Gnanambal",,,1935,Tamil,Kollywood
Maayaa Bazaar,R. Padmanaban,"Serukulathur Sama, Vidwan Seenivasan, S. G. Chellapa Iyer, M. S. Vijayal, V. Rajam, Bala Mani, Kamatchi",,,1935,Tamil,Kollywood
Markandeya,"Murugadasa, K. Ramnoth","V. N. Sundaram, Rajapalayam Kuzhandaivelu Bhagavathar, K. B. Srinivasan, Lady Bhagavathar M. S. Kanna Bai, S. N. Kannamani",,,1935,Tamil,Kollywood
Menaka,P. K. Raja Sandow,"T. K. Shanmugam, T. K. Baghavathi, T. K. Sankaran, T. K. Muthurswamy, K. T. Rukmini, M. S. Vijayal, N. S. Krishnan, K. R. Ramaswamy, Friend Ramasamy, T. N. Sivadhanu",,T. K. Muthuswamy,1935,Tamil,Kollywood
Mohini Rukmangadha,S. Soundararajan,"P. B. Rangachari, T. S. Krishnasamy Iyengar, Vidhwan Seenivasan, V. Nataraja Iyer, M. S. Sarojini, M. S. Vijayal, K. R. Saradhambal, D. Susheela Devi",,K. V. Santhanakrishna Naidu,1935,Tamil,Kollywood
Nala Thamayanthi,Prem Chethna,"S. V. Venkatraman, Mangal Rajeshwari",,,1935,Tamil,Kollywood
Nalla Thangal,P. V. Rao,"M. S. Damodar Rao, C. S. Jayaraman, K. R. Kanthimathi Bai, P. S. Sivabagyam",,,1935,Tamil,Kollywood
Nalla Thangkaal,,,,,1935,Tamil,Kollywood
Naveena Sadaram,K. Subramanyam,"Vidhwan Sankaralingam, G. Pattu Iyer, S. S. Mani Bagavadhar, Kunjidha Padham, S. D. Subbulakshmi, K. K. Parvati Bai, Indubala, M. T. Rajam",,Papanasam Sivan,1935,Tamil,Kollywood
Pattinathar,V. S. K. Patham,"C. S. Sundara Moorthi Oduvar, K. R. Sarathambal, Kothamangalam Seenu",,,1935,Tamil,Kollywood
Poornachandran,D. R. Doss,"T. P. Rajalakshmi, Nott Annajirao, Rangabashyam, M. Anandaraman, R. V. Lakshmi Devi, P. S. Gnanmbal, M. Radhabai",,"Nott Annajirao, S. G. Chellapa Iyer",1935,Tamil,Kollywood
Radha Kalyanam,C. K. Sachi (C. K. Sathasivan),"S. Rajam, M. R. Santhanalakshmi, K. D. Devudu Iyer, T. V. Krishna Moorthy",,Sri Harikesanallur Muthiah Bagavadhar,1935,Tamil,Kollywood
Raja Bhoja,,"T. S. Krishnasamy Iyengar, Rajayee",,,1935,Tamil,Kollywood
Rajambal,A. Narayanan,"S. Rajam, P. S. Srinivasa Rao, M. N. Seenivasan, T. S. Krishnasamy Iyengar, K. N. Rajalakshmi",,,1935,Tamil,Kollywood
Ratnavali,Prafulla Ghosh[7],"M. R. Krishnamoorthi, P. S. Rathna Bai, P. S. Saraswathi Bai, T. R. A. Mathuram[8]",,,1935,Tamil,Kollywood
Sarangadhara,V. S. K. Patham,"Kothamangalam Seenu, G. Seenivasan, T. M. Saradhambal",,,1935,Tamil,Kollywood
Sathi Akalyaa,,,,,1935,Tamil,Kollywood
Siruthonda Naayanaar,C. V. Raman,"T. K. Sundarappa, Sornambal",,,1935,Tamil,Kollywood
Subhadra Parinayam,,"S. V. Subbaiah Bhagavathar, Bufoon Shanmugam, Karaikudi Ganesh Iyer, Kasi Viswanatha Iyer, Ramasamy Pillai, T. S. Velammal, T. K. Rukmani Ammal,",,,1935,Tamil,Kollywood
Thooku Thooki,R. S. Prakash,"C. V. V. Panthulu, Clown Sundaram, K. T. Rukmani, M. R. Kamalam, Devaki",,,1935,Tamil,Kollywood
Ali Badhusha,,"C. S. Selva Rathnam, Pangajam",,,1936,Tamil,Kollywood
Baktha Kuchela,K. Subramanyam,"Papanasam Sivan, S. D. Subbulakshmi, G. Pattu Iyer, Baby R. Balasaraswathi Devi",,,1936,Tamil,Kollywood
Bama Parinayam,Y. V. Rao,"Serukulathur Sama, T. P. Rajalakshmi, K . Rangnayagi, Raja Thandapani",,,1936,Tamil,Kollywood
Beeshma Prathikgna,,,,,1936,Tamil,Kollywood
