Title,Director,Cast,Genre,Music,year,language,industry
Vigathakumaran,J. C. Daniel,"J. C. Daniel, P. K. Rosy",,,1928,Malayalam,Mollywood
Marthanda Varma,P. V. Rao,"Jaidev, A. V. P. Menon, Devaki, Padmini",,,1933,Malayalam,Mollywood
Balan,S. Nottani,"K. K. Aroor, Alleppey Vincent, M. K. Kamalam",,,1938,Malayalam,Mollywood
Gnanambika,S. Nottani,,,,1940,Malayalam,Mollywood
Prahlada,K. Subramanyam,"Guru Gopinath, Thankamani Gopinath, Kumari Lakshmi",,,1941,Malayalam,Mollywood
Nirmala,P. V. Krishna Iyer,"Joseph Cherian, Baby Joseph",,,1948,Malayalam,Mollywood
Vellinakshatram,Felix J. Beyse,"Gayaka Peethambaram, Ambujan, Kuttanadu Ramakrishna Pillai, Miss Kumari",,,1949,Malayalam,Mollywood
Nalla Thanka,P. V. Krishna Iyer,"Augustine Joseph, Vaikom Mani, Miss Kumari, Miss Omana and S. P. Pillai",,,1950,Malayalam,Mollywood
Chechi,T. Janaki Ram,,,,1950,Malayalam,Mollywood
Sasidharan,T. Janaki Ram,,,,1950,Malayalam,Mollywood
Sthree,R. Velappan Nair,Thikkurissi Sukumaran Nair Vaikom M. P. Mani,,,1950,Malayalam,Mollywood
Prasanna,Sri Ramalu Naidu,,,,1950,Malayalam,Mollywood
Chandrika,V. S. Raghavan,,,,1950,Malayalam,Mollywood
Jeevitha Nouka,K. Vembu,"Thikkurissi Sukumaran Nair, B. S. Saroja, Sebastian Kunju Kunju Bhagavatar",,,1951,Malayalam,Mollywood
Navalokam,,Thikkurissi Sukumaran Nair,,,1951,Malayalam,Mollywood
Kerala Kesari,V. Krishnan,,,M. S. Gnanamani,1951,Malayalam,Mollywood
Rakthabandham,M. R. Vittal,Paravoor Bharathan (debut),,S. M. Subbaiah Naidu and S. N. Ranganathan,1951,Malayalam,Mollywood
Vanamala,G. Vishwanathan,,,,1951,Malayalam,Mollywood
Yachakan,R. Velappan Nair,"M. P. Manmathan, Miss Kumari, Kottarakkara, S. P. Pillai",,S. N. Ranganathan,1951,Malayalam,Mollywood
Suhruthu,Joseph Pallipad,,,,1952,Malayalam,Mollywood
Alphonsa,O. J. Thottan,,,T. R. Pappa,1952,Malayalam,Mollywood
Aathmasanthi,Joseph Thaliyath (Jr.),Sathyan,,T. R. Pappa,1952,Malayalam,Mollywood
Kanchana,Sri Ramulu Naidu,,,S. M. Subbaiah Naidu,1952,Malayalam,Mollywood
Marumakal,S. K. Chari,"Prem Nazir (debut), Neyyatinkara Komalam",,,1952,Malayalam,Mollywood
Premalekha,M. K. Ramani,,,,1952,Malayalam,Mollywood
Aathmasakhi,G. R. Rao,Sathyan (debut),,,1952,Malayalam,Mollywood
Visappinte Vili,Mohan Rao,"Prem Nazir, Kumari Thankam",,,1952,Malayalam,Mollywood
Amma,K. Vembu,"Thikkurissy Sukumaran Nair, Lalitha, B. S. Saroja",,,1952,Malayalam,Mollywood
Achan,M. R. S. Mani,"Prem Nazir, B. S. Saroja, Thikkurissi Sukumaran Nair",,,1952,Malayalam,Mollywood
Velakkaran,E. R. Kooper,"Prem Nazir, Rajasulochana",,,1953,Malayalam,Mollywood
Thiramala,"Vimal Kumar, P. R. S. Pillai",,,,1953,Malayalam,Mollywood
