Title,Director,Cast,Genre,Music,year,language,industry
Sati Sulochana,Y. V. Rao,"R. Nagendra Rao, Subbaiah Naidu, Lakshmi Bai, Tripuraamba, C. T. Sheshachalam",,R. Nagendra Rao,1934,Kannada,Sandalwood
Bhakta Dhruva,Parshvanathah Altekar,"Master Muthu, T.D warakanath, H. S. Krishnaswamy Iyengar, G. Nagesh, M. G. Marirao, T.Kanakalakshmama",,Harmonium Sheshagirirao,1934,Kannada,Sandalwood
Sadaarame,Raja Chandrashekar,"Gubbi Veeranna, K.Ashwathamma, Muraaraachaar, Shakunthala, Swaranamma",,Venkataramaiah (Papanna),1935,Kannada,Sandalwood
Samsara Nauka,H. L. N. Simha,"B. R. Panthulu, M. V. Rajamma, S. K. Padma Devi, M. S. Madhava Rao, Dikki Madhava Rao",,M. Madhavarao,1936,Kannada,Sandalwood
Chiranjeevi,K. P. Bhave,"Devudu, Sharada, Malavalli Sundaramma, Basavaraju Mansoor, R. S. Murthy, Narayanarao",,Harmonium Sheshagirirao,1936,Kannada,Sandalwood
Purandaradasa,B. Chawan,"G. Krishnaswamy Iyengar, Tripuraamba, J. T. Balakrishnarao,",,,1937,Kannada,Sandalwood
Rajasuya Yaaga,T.Dwarakanath,"S. R. Vasudevarao, T. K. Ramamurhty, K. R. Seetharam, T. Jayamma, T. Chandrashekar, Saroja",,Padmanabha Shashtri,1937,Kannada,Sandalwood
Subhadra,C. Pullaiah,"Gubbi Veeranna, Honnappa Bhagavathar, Jayamma, Vasudeva Girimaji, B. Raghavendra Rao",,,1941,Kannada,Sandalwood
Vasantasena,Ramayyar Sirur,"Lakshmi Bai, Subbaiah Naidu, R. Nagendra Rao, Kamalabai, P. Kalinga Rao, Padma Devi",,,1941,Kannada,Sandalwood
Bhakta Prahalada,K. Subramanyam,"M. V. Rajamma, Chandramma, A.N. Sheshachar",,,1942,Kannada,Sandalwood
Jeevana Nataka,Wahab Kashmiri,"Gubbi Veeranna, Kemparaj Urs, Jayamma, Shantaa Heblikar",,,1943,Kannada,Sandalwood
Satya Harishchandra,R. Nagendra Rao,"Subbaiah Naidu, R. Nagendra Rao, Lakshmibai, J. V. Krishnamurthy Rao, M. G. Marirao",,,1943,Kannada,Sandalwood
Krishna Sudhaama,K. Subramanyam,"Bellave Narahari Sastry, S. D. Subbulakshmi",,,1943,Kannada,Sandalwood
Vani,K. HirannaiahM. N. Gopal,"Tirumakudalu Chowdiah, Bellary Lalitha, Pandari Bai, Bellary Rathnamala, Musuri Krishnamurthy, K. V. Achutharao, K. Hirannaiah",,,1943,Kannada,Sandalwood
Radha Ramana,Jyothisha Sinha,"B. R. Panthulu, M. V. Rajamma, G. V. Iyer, Balakrishna, Srinivasarao",,,1943,Kannada,Sandalwood
Hemareddy Mallamma,S. Soundarya Rajan,"Gubbi Veeranna, Honnappa Bhagavathar, C. B. Mallappa, B. Jayamma, Ku.Ra.Ci",,,1946,Kannada,Sandalwood
Chandrahasa,Shanthesh Patel,"Handiganoor Siddaramappa, Amirbai Karnataki, Vikas, B. Sharada",,,1947,Kannada,Sandalwood
Krishnaleela,C. V. Raju,"D. Kemparaj Urs, Marirao, Usha Bellar Lalitha, Rathnamala, Nagarathna",,,1947,Kannada,Sandalwood
Mahananda,T. Janakiram,"D. Kemparaj Urs, Sumathi, Kashinath, Vedaantham, Padmanabhan, Rajakumari, Prathimadevi",,,1947,Kannada,Sandalwood
Mahathma Kabir,R. Nagendra Rao,"Subbaiah Naidu, R. Nagendra Rao, Lakshmibai, Kamalabai",,,1947,Kannada,Sandalwood
Bhakta Ramdas,D. Kemparaj Urs,"D. Kemparaj Urs, Vimalanandadas, Sumathi",,,1948,Kannada,Sandalwood
Bhakta Kumbara,Bomman D. Irani,"Honnappa Bhagavathar, Lakshimibai, Vimalanandadas, Pandari Bai",,,1948,Kannada,Sandalwood
Bharathi,R. M. Veerabadraiah,"Tanguturi Suryakumari, Sampath, M. V. Krishnaswamy",,,1948,Kannada,Sandalwood
Dasara,B. Y. Ramdas,K N Simha,,,1949,Kannada,Sandalwood
Kalaavida,KrishnanSuryanarayana,"B. Sohanlal, Kantha, Shantha",,,1949,Kannada,Sandalwood
Nagakannika,G. Vishwanthan,"Jayashri, Bellary Rathnamala, B. Raghavendrarao, S. M. Veerabadrappa, U. Mahabalarao",,,1949,Kannada,Sandalwood
Sathi Tulasi,M. V. N. Iyengar,"Vimalanandadas, Sushiladevi",,,1949,Kannada,Sandalwood
Shaneeswara Mahatme (ಶನೀಶ್ವರ ಮಹಾತ್ಮೆŚanīśvara mahātme),Kempraj Urs,"Kemparaj Urs, M. V. Rajamma, Pandari Bai, B. Jayamma, M. S. Subanna",,S. Rajam,1950,Kannada,Sandalwood
Shiva Parvathi (ಶಿವ ಪಾರ್ವತಿ),T. Janakiram,"Kemparaj Urs, Sumathi, Kashinath, Prathima Devi, Shantha",,B. Dayanidhi,1950,Kannada,Sandalwood
Jaganmohini (ಜಗನ್ಮೊಹಿನಿ),D. Shankar Singh,"Harini, Prathima Devi, Jayashri, Srinivasarao, Mahabalarao, Makeup Subanna",,P. Shyamanna,1951,Kannada,Sandalwood
Thilothamme (ತಿಲೋತ್ತಮೆ),R. M. Veerabadraiah,"Veerbadrappa, Jayashri, G. R. Saindo",,,1951,Kannada,Sandalwood
Sri Srinivasa Kalyana (ಶ್ರೀ ಶ್ರೀನಿವಾಸ ಕಲ್ಯಾಣ),D. Shankar Singh B. Vittalacharya,"Vimalananda Das, Prathima Devi, Rajkumar",,P. Shyamanna,1952,Kannada,Sandalwood
Chanchal Kumari (ಚಂಚಲ ಕುಮಾರಿ),D. Shankar Singh,"Indu Shekar, Prathima Devi, Rajendra Singh Babu",,P. Shyamanna,1953,Kannada,Sandalwood
Dalalli (ದಲ್ಲಾಳಿ),D. Shankar Singh,"Sampath, Subbanna, Harini, Balakrishna, Mahabalarao",,P. Shyamanna,1953,Kannada,Sandalwood
Jathaka Phala (ಜಾತಕ ಫಲ),R. Nagendra Rao,"Nagendra, Sarangapaani, T. K. Balachandran, Suryakala, Kamalabai",,R. Govardhanam,1953,Kannada,Sandalwood
Gunasagari (ಗುಣಸಾಗರಿ),H. L. N. Simha,"Honnappa Bhagavathar, Pandari Bai, Gubbi Veeranna, T. S. Balaiah, B. Jayamma, K. Kumari",,R. Sudharsanam,1953,Kannada,Sandalwood
Mangala Gowri (ಮಂಗಳ ಗೌರಿ),T. R. Sundaram,"Indu Shekar, Harini",,,1953,Kannada,Sandalwood
Srikrishna (ಶ್ರೀಕೃಷ್ಣ),C. V. Raju,"Kemparaj Urs, Marirai, Usha Bellar Lalitha, Rathnamala, Nagarathna",,,1953,Kannada,Sandalwood
Sowbhagya Lakshmi (ಸೌಭಾಗ್ಯ ಲಕ್ಷ್ಮಿ),B. Vittalacharya,"Harini, Indu Shekar, Balakrishna, M. N. Lakshmidevi",,Rajan–Nagendra,1953,Kannada,Sandalwood
Bedara Kannappa (ಬೇಡರ ಕಣ್ಣಪ್ಪ),H. L. N. Simha,"Rajkumar, Pandari Bai, Rajasulochana, G. V. Iyer, T. R. Narasimharaju, H. R. Shasthry",,R. Sudharsanam,1954,Kannada,Sandalwood
Devakannikaa (ದೇವಕನ್ನಿಕಾ),B. R. Rao,"Indu Shekar, Sowcar Janaki, Balakrishna",,,1954,Kannada,Sandalwood
Kanyadana (ಕನ್ಯಾದಾನ),B. Vittalacharya,"Harini, Balakrishna, Indushekar",,,1954,Kannada,Sandalwood
Jaladurga (ಜಲದುರ್ಗ),Kempraju Urs,"Kemparaj Urs, Krishnakumari, B. R. Panthulu, Jayalakshmi",,,1954,Kannada,Sandalwood
Madiddunnu Maharaya (ಮಾಡಿದುಣ್ಣು ಮಹರಾಯ),D. Shankar Singh,"Hunsur Krishnamurthy, Harini, Prathima, Revathi, Sampath",,,1954,Kannada,Sandalwood
Muttidella Chinna (ಮುಟ್ಟಿದ್ದೆಲ್ಲಾ ಚಿನ್ನ),D. Shankar Singh,"Balakrishna, Harini, Prathima Devi",,,1954,Kannada,Sandalwood
Natasekhara (ನಟಶೇಖರ),C. V. Raju,"Kalyan Kumar, Vidya, Sandhya, Jayasree, G. Goggu",,M. Venkataraju,1954,Kannada,Sandalwood
Rajalakshmi (ರಾಜಲಕ್ಷ್ಮಿ),B. Vittalacharya,"Sampath, Revathy",,,1954,Kannada,Sandalwood
Aadarshasathi (ಆದರ್ಶಸತಿ),Chitrapu Narayana Murthy,"R. Nagendra Rao, Jamuna, Sowcar Janaki, Mohan",,,1955,Kannada,Sandalwood
Aashadaboothi (ಆಷಾಢಭೂತಿ),D. Shankar Singh,"B. Saroja Devi, Sampath, Balakrishna",,,1955,Kannada,Sandalwood
