Title,Director,Cast,Genre,Music,year,language,industry
Kalidas,H. M. Reddy,"T. P. Rajalakshmi, P. G. Venkatesan, L. V. Prasad",Biographical,,1931.0,Telugu,Tollywood
Bhakta Prahlada,H. M. Reddy,"Venkata Subbaiah Municipalle, Surabhi Kamalabai, 'Master' Krishna, L. V. Prasad",Devotional,,1932.0,Telugu,Tollywood
Rama Paduka Pattabhishekam,Sarvottam Badami,"C. S. R. Anjaneyulu, Surabhi Kamalabai, Yadavalli Suryanarayana",Devotional,,1932.0,Telugu,Tollywood
Shakuntala,Sarvottam Badami,"Yadavalli Suryanarayana, Surabhi Kamalabai",Mythology,,1932.0,Telugu,Tollywood
Chintamani or Bilvamangal,Sadasiva Rao Kallakoori,"Master Baburao, Bhadracharyulu, Pulipati Venkateswarulu, P Ramatilakam, Parvatibai etc.",Devotional,,1933.0,Telugu,Tollywood
Prithvi Putra 2 playlet's Parijathaparanam Narakasura Vadha,Potina Srinivasa Rao,"Parepalli Satyannarayana, K. Raghuramaiah, Surabhi Kamalabai",Devotional,,1933.0,Telugu,Tollywood
Prajvala Alapana,Sadasiva Rao,,,,1933.0,Telugu,Tollywood
Ramadasu,"C. Pullaiah, Ghantasala Radhakrishnaiah","Ghantasala Balaramayya, C. S. R. Anjaneyulu, Satyanarayana Aarani, Rama Thilakam",Devotional,,1933.0,Telugu,Tollywood
Sati Savitri,C. Pullaiah,"Nidumukkala Subba Rao, Rama Thilakam, Vemuri Gaggaiah, Parupalli Satyannarayana",Devotional,,1933.0,Telugu,Tollywood
Sathi Savitri,H. M. Reddy,"Kanthamani, V.V. Subba Rao, K.L. Kantham, Hem Singh",Devotional,,1933.0,Telugu,Tollywood
Athulya Sahavasam andi,Pullaya,,,,1934.0,Telugu,Tollywood
Ahalya,K. Rangarao,,,,1934.0,Telugu,Tollywood
Lava Kusa,C. Pullaiah,"Parupalli Subba Rao, Sriranjani, 'Master' Bhimarao, 'Master' Malleshwara Rao, Parupalli Satyannarayana",Devotional,,1934.0,Telugu,Tollywood
Sita Kalyanam,C. Narasimha Rao,"Madhavapeddi Venkatramaiah, Master Kalyani, Bezawada Rajarathnam, P. Rama Thilakam, Nageswara Rao, Lanka Krishnamurthy",Devotional,,1934.0,Telugu,Tollywood
Bhakta Kuchela,K. Sadasivarao,"K. Raghuramaiah, Pulipaka Venkatappaiah, D. S. Prakasarao, Kakinada Rajaratnam, Saraswati, Samrajyam, Sundaram",Devotional,,1935.0,Telugu,Tollywood
Harishchandra,T. A. Raman,"Adhanki Srirama Murthy, P. Kannamba, 'Master' Bhimarao, Pulipati Venkateswarulu, Akulu Narasimha Rao",Devotional,,1935.0,Telugu,Tollywood
Sati Anasuya,Ahin Chowdhary,"Dasari Kotaratnam, Tungala Chalapati",Devotional,,1935.0,Telugu,Tollywood
Sati Sakkubai,Charu Rai,"Tungala Chalapati Rao, Dasari Kotiratnam, Suravarapu Venkateswarulu, Dasari Anjani Bai",Devotional,,1935.0,Telugu,Tollywood
Sri Krishna Leelalu,C. Narasimha Rao,"S. Rajeswara Rao, Parepalli Subba Rao, Sriranjani, Vemuri Gaggaiah, P. Rama Thilakam, Parepalli Satyanarayana, C. Lakshmi Rajyam",,,1935.0,Telugu,Tollywood
Sri Krishna Tulabharam,C. Pullaiah,"Ramanatha Sastri Kapilavayi, Rushyendramani, Kanchanamala, C. Lakshmi Rajyam, Relangi Venkata Ramaiah",Devotional,,1935.0,Telugu,Tollywood
Rani Premalata,,,,,1935.0,Telugu,Tollywood
Dhruva (Also Known as Dhruva Vijayamu),C. Pullaiah,"C. Narayanaswamy, T. Venkateswarulu, M. Hemalata, Sitaram, M. Rangachari, A. Narasimha Rao, Lalitha",Mythology,,1936.0,Telugu,Tollywood
Draupadi Maanasamrakshana,N. Jaganatha Swamy,"Bellary Raghava, Surabhi Kamalabai, Parepalli Subba Rao, Banda Kanakalingeswararao, V. V. Subba Rao, B. Chalapathi Rao, K. Sivarama Krishnayya",Mythology,,1936.0,Telugu,Tollywood
Draupadi Vastrapaharanam,H. Vishwanath Babu,"Yadavalli Suryanarayana, P. Kannamba, C. S. R. Anjaneyulu, N. Nagaraja Rao, Lanka Krishna Murthy, Vemuri Gaggaiah, Dommeti Suryanarayana",Mythology,,1936.0,Telugu,Tollywood
Kabir,S. Rangaswamy,,,,1936.0,Telugu,Tollywood
Lanka Dahanam,K. Sadasivarao,K. Raghuramaiah,Mythology,,1936.0,Telugu,Tollywood
Mayabazar (Also Known as Sasirekha Parinayam),P. V. Das,"Yadavalli Nageswara Rao, Santha Kumari, S. P. Lakshmanaswamy, Sriranjani, Turlapati Anjaneyulu, Rami Reddy",Mythology,,1936.0,Telugu,Tollywood
Premavijayam,Krithiventi Nageshwara Rao,"Ranga Rao, P. S. Sharma, B. Rajalakshma, P. Rama Rao, C. Lakshmi Rajyam, K. Ranga Rao",,,1936.0,Telugu,Tollywood
Premilarjuneyam,,,,,1936.0,Telugu,Tollywood
Sampoorna Ramayanam,"I. Nagabhushana Rao, N. B. Narayana","B. Narayana Murthy, M. Narayana Rao, Pushpavalli, M. Suryanarayana",Devotional,,1936.0,Telugu,Tollywood
Sati Tulasi,C. Narasimha Rao,"Ghantasala Balaramayya, Vemuri Gaggaiah, Sriranjani",Mythology,,1936.0,Telugu,Tollywood
Sulochana,,,,,1936.0,Telugu,Tollywood
Veerabhimanyu,V. D. Ameen,"Kanchanamala, Pulipati Venkateswarlu, Mantravadi Venkatajogarao",Mythology,,1936.0,Telugu,Tollywood
Balayogini,K. Subrahmanyam,"Baby Saroja, Aarani Satyanarayana, Vangara, Kamala Kumari, P. Rama Thilakam, Baby S. Varalakshmi",Drama,,1937.0,Telugu,Tollywood
Dasavataramulu,K. V. Bhave,"Parepalli Subba Rao, Mandha Subbarao, Dronamraju Narasimharao, Tigela Venkateswarlu, Koderu Rajasodarulu, Dommiti Satyanarayana",Mythology,,1937.0,Telugu,Tollywood
Kanakatara,H. Vishwanath Babu,"Dommeti Suryanarayana, P. Kannamba, P. Suribabu",Romance,,1937.0,Telugu,Tollywood
Mohini Rukmangada,C. Narasimha Rao,"Vemuri Gaggaiah, Yadavalli Suryanarayana, C. Krishnaveni, P. Rama Thilakam, Pulipati Venkateswarlu, T. Ramakrishna Sastry",Mythology,,1937.0,Telugu,Tollywood
Nara Narayana,C. Narasimha Rao,"Adhanki Srirama Murthy, P. Rama Thilakam, Pulipati Venkateswarlu",Devotional,,1937.0,Telugu,Tollywood
Rukmini Kalyanam,R. Nataraja Mudaliar,"K. Raghuramaiah, Santha Kumari",Devotional,,1937.0,Telugu,Tollywood
Sarangadhara,P. Pullaiah,"Banda Kanakalingeshwara Rao, Santha Kumari, Adhanki Srirama Murthy, P. Kannamba, Pulipati Venkateswarlu, Sriranjani",Devotional,,1937.0,Telugu,Tollywood
Vijayadashami,,,,,1937.0,Telugu,Tollywood
Vipra Narayana,Ahindra Chaudhari,"Kasturi Narasimha Rao, Kanchanamala, Suryakumari",Devotional,,1937.0,Telugu,Tollywood
Bhakta Jayadeva,Hiren Bose,"Surabhi Kamalabai, Rentachintala Satyanarayana, Santha Kumari, Pulipati Venkateswarlu",Devotional,,1938.0,Telugu,Tollywood
Bhakta Markandeya,C. Narayana Murthy,"Vemuri Gaggaiah, Sriranjani, G. S. Swamy",Devotional,,1938.0,Telugu,Tollywood
Chal Mohana Ranga,C. Pullaiah,"Valli Subba Rao, Pushpavalli",Drama,,1938.0,Telugu,Tollywood
Chitranaleeyam,D. Rami Reddy,"Banda Kanakalingeshwara Rao, Sriranjani, Madhavappedi Venkataramayya",Mythology,,1938.0,Telugu,Tollywood
Gruhalakshmi,H. M. Reddy,"Chittor V. Nagaiah, Kanchanamala, P. Kannamba, Ramanujachari, Govindarajula Subba Rao",Drama,,1938.0,Telugu,Tollywood
Gulebakavali,Kallakoori Sadasiva Rao,B. Jayamma,Fantasy,,1938.0,Telugu,Tollywood
Kacha Devayani,C. Dronamraju,"S. P. Lakshmana Swamy, C. Krishnaveni, C. Suryanarayana Bhagavathar, R. Rami Reddy, K. Raghuramayya",Mythology,,1938.0,Telugu,Tollywood
Kasula Peru,C. Pullaiah,"K. Hanumantha Rao, Sundaramma, Srihari, Tulasamma",Drama,,1938.0,Telugu,Tollywood
Krishna Jarasandha,C. Narasimha Rao,"T. Ramakrishna Sastry, M. V. Rajamma, Vemuri Gaggaiah, K. Satyanarayana",Mythology,,1938.0,Telugu,Tollywood
Mala Pilla,Gudavalli Ramabrahmam,"Govindarajula Subba Rao, Kanchanamala, P. Suribabu, Vangara",Social,,1938.0,Telugu,Tollywood
Mohini Basmasura,C. Pullaiah,"Pushpavalli, A. V. Subba Rao, Dasari Kotiratnam, D. Rama Murthy",Devotional,,1938.0,Telugu,Tollywood
Narada Samsaram,,,,,1938.0,Telugu,Tollywood
Satyanarayana Vratam,C. Pullaiah,"Kamaraju, Devarakonda Ramoorthi, Hymavathi, Laxminarasamma",Drama,,1938.0,Telugu,Tollywood
Thukaram,B. Narayana Rao,"C. S. R. Anjaneyulu, Surabhi Kamalabai, Surabhi Balasaraswathi",Drama,,1938.0,Telugu,Tollywood
Amma,Niranjan Pal,,,,1939.0,Telugu,Tollywood
Jayaprada,Ch. Narasimha Rao,"C. S. R. Anjaneyulu, K. Pichhaiah, Suryakumari, Lalita",Devotional,,1939.0,Telugu,Tollywood
Mahananda,China Kameswara Rao Dronamraju,"Adhanki Srirama Murthy, Parepalli Subba Rao, C. Krishnaveni, P. Kannamba",Devotional,,1939.0,Telugu,Tollywood
Malli Pelli,Y. V. Rao,"Y. V. Rao, K. Sathyanarayana, Kanchanamala, Bezawada Rajarathnam",Social,,1939.0,Telugu,Tollywood
Panduranga Vittal,B. V. Ramanandam,"Panchangam Ramanujachary, T. Chalapathi Rao, Dasari Kotiratnam, D. Satyanarayana, Kanthamani",Devotional,,1939.0,Telugu,Tollywood
Pasupathastram,K. Ranga Rao,K. Raghuramaiah,Devotional,,1939.0,Telugu,Tollywood
Mathru Bhoomi,H. M. Reddy,"P. U. Chinnappa, T. S. Santhanam, T. V. Kumudhini, A. K. Rajalakshmi",Drama,,1939.0,Telugu,Tollywood
Radha Krishna,,,,,1939.0,Telugu,Tollywood
Raithu Bidda,Gudavalli Ramabrahmam,"Bellary Raghava, P. Suri Babu, Suryakumari, G. V. Sitapathy Rao, S. Varalakshmi",Social,,1939.0,Telugu,Tollywood
"Sri Venkateswara Mahatyam (Also Known as ""Balaji"")",P. Pullaiah,"C. S. R. Anjaneyulu, Santha Kumari, Rajeshwari Devi",Devotional,,1939.0,Telugu,Tollywood
Vande Mataram,B. N. Reddy,"Chittor V. Nagaiah, Kanchanamala, Lingamoorthy",Social,,1939.0,Telugu,Tollywood
Vara Vikrayam,C. Pullaiah,"Pushpavalli, Lakshmikantam Kavi, P. Bhanumathi, Daita Gopalam, Sriranjani",Social,,1939.0,Telugu,Tollywood
Barrister Parvateesarrn,R. Prakash,"Lanka Satyam, G. Varalakshmi, K. Sivarao, L. V. Prasad",Comedy,,1940.0,Telugu,Tollywood
Bhoja Kalidasu,H. V. Babu,"Adhanki Srirama Murthy, Parepalli Subba Rao, P. Kannamba",Mythology,,1940.0,Telugu,Tollywood
Bhookailas,Sundar Rao Nadkarni,"M. V. Subbiah Naidu, R. Nagendra Rao, Lakshmi Bai, R. Subramanyam, Hymavathi",Devotional,,1940.0,Telugu,Tollywood
Bondam Pelli,H. M. Reddy,"L. V. Prasad, G. Varalakshmi",Comedy,,1940.0,Telugu,Tollywood
Chaduvukunna Bharya,H. M. Reddy,"Lanka Satyam, G. Varalakshmi",Comedy,,1940.0,Telugu,Tollywood
Chandika,R. S. Prakash,"P. Kannamba, Bellary Raghava, Vemuri Gaggaiah, Aarani Satyanarayana",Adventure,,1940.0,Telugu,Tollywood
Illalu,Gudavalli Ramabrahmam,"V. Umamaheswara Rao, Kanchanamala, Lakshmi Rajyam",Family,,1940.0,Telugu,Tollywood
Jeevana Jyothi,China Kameswara Rao Dronamraju,"Ch. Narayana Rao, C. Krishnaveni, Kamala Kotnis",Drama,,1940.0,Telugu,Tollywood
Kalachakram,Amancharla Gopala Rao,"Banda Kanakalingeshwara Rao, Lakshmi Rajyam, M. Krishna Rao, N. Nagaraja Rao, Uma Devi",Drama,,1940.0,Telugu,Tollywood
Mahiravana,Ch. Narayana Murthy,"Vemuri Gaggaiah, Kanchanamala, R. Subramanyam, Yandamuri Raju, T. Ramakrishna Sastry",Mythology,,1940.0,Telugu,Tollywood
