Title,Director,Cast,Genre,Music,year,language,industry
Balika Badhu a.k.a. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida",Social,,1920.0,Hindi,Bollywood
Daksha Yagna a.k.a. Sati Parvati,Vishnupant Divekar,"Khalil, Prabha, Vaidya",Mythology,,1920.0,Hindi,Bollywood
Jalandhar Vrinda a.k.a. Sati Tulsi Vrinda,G. V. Sane,,Mythology,,1920.0,Hindi,Bollywood
Kansa Vadha a.k.a. End Of The Tyrant King,G. V. Sane,,Mythology,,1920.0,Hindi,Bollywood
Katorabhar Khoon a.k.a.The Stinger Stung a.k.a. Zaheri Saanp,S. N. Patankar,"Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas, K. G. Gokhale",Social,,1920.0,Hindi,Bollywood
Krishna Sudama a.k.a. Shri Krishna Sudama,Vishnupant Divekar,"Khalil, Vaidya, Prabha, Kesarbai, Moti, Sakina, Ali Miya",Mythology,,1920.0,Hindi,Bollywood
Lava Kusha,R. Nataraja Mudaliar,,Mythology,,1920.0,Hindi,Bollywood
Mahabharata,Rustomji Dhotiwala,,,,1920.0,Hindi,Bollywood
Mrichhakatik,Suchet Singh,Kanjibhai Rathod,,,1920.0,Hindi,Bollywood
Narasinha Avtar,Shree Nath Patankar,,Mythology,,1920.0,Hindi,Bollywood
Narsinh Mehta,"Suchet Singh, Shukle",Kanjibhai Rathod,Devotional,,1920.0,Hindi,Bollywood
Ram Janma,G. V. Sane,,Mythology,,1920.0,Hindi,Bollywood
Rama Or Maya,"Suchet Singh, Shukle","Dorothy Kingdon, Goharjaan, Kanjbhai Rathod, Samson",Mythology,,1920.0,Hindi,Bollywood
Sairandhri,Baburao Painter,"Balasabeb Yadav, Zunzharrao Pawar, Kamaladevi, Balasabeb Yadav, Keshavrao Dhaiber, Baburao Pendharkar, Ganpatrao Bakre, Ansuyabai, Gulabbai, Ravi Bhaskar",Mythology,,1920.0,Hindi,Bollywood
Shakuntala,Suchet Singh,"Dorothy Kingdon, Goharjaan, Mrs. Sutria, Samson",Mythology,,1920.0,Hindi,Bollywood
Shakuntala,Shree Nath Patankar,,Mythology drama,,1920.0,Hindi,Bollywood
Shri Krishna Leela,G. V. Sane,,Mythology,,1920.0,Hindi,Bollywood
Shri Rama Janma,G. V. Sane,,Mythology,,1920.0,Hindi,Bollywood
Sita Swayamwar a.k.a. Sita's Marriage,Shree Nath Patankar,Limaye,Mythology,,1920.0,Hindi,Bollywood
The Enchanted Pills a.k.a. Vichitra Gutika,S. N. Patankar,"Trymbakrao Pradhan, Marathe, Sitarampant Joshi, K. G. Gokhale, Damuanna Joshi, Dighe",Social,,1920.0,Hindi,Bollywood
Vikram Urvashi,Kanjibhai Rathod,"R. N. Vaidya, Lina Valentine",Mythology,,1920.0,Hindi,Bollywood
Behula,C. Legrand,Patience Cooper,Mythology,,1921.0,Hindi,Bollywood
Belgian Emperor's Visit To India,Nitin Bose,,Documentary,,1921.0,Hindi,Bollywood
Bhakta Vidur,Kanjibhai Rathod,"Dwarkadas Sampat, Sakina, Maneklal Patel, Homi Master, Prabhashankar, Gangaram",Devotional,,1921.0,Hindi,Bollywood
Bilet Pherat a.k.a. England Returned,Dhirendranath Ganguly,"Dhirendranath Ganguly, Manmatha Pal, Sushilabala, Kunjalal Chakraborty",Social Comedy,,1921.0,Hindi,Bollywood
Chandrahasa,Kanjibhai Rathod,"Khalil, Tara, Moti, Savita, Dhanji",Devotional,,1921.0,Hindi,Bollywood
Dabbur Kelenkari,Debi Ghosh,Chani Datta,,,1921.0,Hindi,Bollywood
Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, M. Manilal, Master Mohan, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Dadabhai Sarkari, Kusumkumari, Aga Hashr Kashmiri, Pestonji Madan",Mythology,,1921.0,Hindi,Bollywood
King Gopichand a.k.a. Gopichand,Vishnupant Divekar,"Hira Koregaonkar, Mama Bhatt",Legend,,1921.0,Hindi,Bollywood
Govardhan Dhari,G. V. Sane,,Mythology,,1921.0,Hindi,Bollywood
Jagat Janani Jagadamba a.k.a. Ma Durga a.k.a. Mother Durga,Jyotish Bannerjee,,Mythology,,1921.0,Hindi,Bollywood
Krishna Kumar a.k.a. Pradyumna,Vishnupant Divekar,,Mythology,,1921.0,Hindi,Bollywood
Krishna Maya,Kanjibhai Rathod,Jamna,Mythology,,1921.0,Hindi,Bollywood
Mahasati Ansuya a.k.a. Sati Ansuya a.k.a. Birth Of Shri Dattatreya,Kanjibhai Rathod,"Khalil, Vaidya, Sakina",Devotional,,1921.0,Hindi,Bollywood
Meerabai a.k.a. Mira Bai,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,,1921.0,Hindi,Bollywood
Mohini,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,,1921.0,Hindi,Bollywood
Nal Damayanti,E. D. Liguoro,"Patience Cooper, E. D. Liguoro, D. Sarkari, K. Adajania, Albertina, Chhapgar",Mythology,,1921.0,Hindi,Bollywood
Pundalik,Ganpat Shinde,,Devotional,,1921.0,Hindi,Bollywood
Pundalik,Kanjibhai Rathod,,Devotional,,1921.0,Hindi,Bollywood
Ratnakar,S. N. Ray,"Chunilal Dev, Shosha Mukhi, Sushila Debi",Mythology,,1921.0,Hindi,Bollywood
Rukmini Haran,Kanjibhai Rathod,"Khalil, Tara, Moti, Sakina, R. N. Vaidya, Gangaram",Mythology,,1921.0,Hindi,Bollywood
Rukmini Satyabhama a.k.a. Rukmini Kalyanam a.k.a. Rukmani Sathyabhama a.k.a. The Wedding Of Rukmani,R. Nataraja Mudaliar,,Mythology,,1921.0,Hindi,Bollywood
Sant Tukaram a.k.a. Tukaram,Ganpat Shinde,,Devotional,,1921.0,Hindi,Bollywood
Sati Madalsa,S. N. Patankar,,Mythology,,1921.0,Hindi,Bollywood
Sati Sulochana,G. V. Sane,,Mythology,,1921.0,Hindi,Bollywood
Salaam Aleikum,,,Social,,1921.0,Hindi,Bollywood
Shani Prabhav,G. V. Sane,,Mythology,,1921.0,Hindi,Bollywood
Shivratri,C. Legrand,"Kusum Kumari, Prabodh Bose",Mythology,,1921.0,Hindi,Bollywood
Subhadra Haran,Kanjibhai Rathod,,Mythology,,1921.0,Hindi,Bollywood
Surekha Haran a.k.a. The Elopement Of Surekha a.k.a. Surekha Abhimanyu,Baburao Painter,"V. Shantaram, Vishnupant Pagnis, Baburao Pendharkar, Ravji Mhaskar, Balasaheb Yadav, Ganpat Bakre, Zunzharrao Pawar, G. R. Mane, Gajrabai",Mythology,,1921.0,Hindi,Bollywood
Themuras & Tehmuljee a.k.a. Aflatoon,,,Social,,1921.0,Hindi,Bollywood
Tridandi Sanyas,Vishnupant Divekar,"Soni, Limaye, Anand Shinde",Mythology,,1921.0,Hindi,Bollywood
Urvashi,Vishnupant Divekar,"Hira Koregaonkar, Limaye, Vithabai",Mythology,,1921.0,Hindi,Bollywood
Valli Thirumanam a.k.a. Valli's Wedding,Whittaker,,Mythology,,1921.0,Hindi,Bollywood
Valmiki,G. V. Sane,,Mythology,,1921.0,Hindi,Bollywood
Vikram Satva Pariksha,G. V. Sane,,Mythology,,1921.0,Hindi,Bollywood
Vishwamitra Menaka,Kanjibhai Rathod,"Ali Miyan, Jamna, Kesar, Raja Babu",Mythology,,1921.0,Hindi,Bollywood
Vishnu Avatar a.k.a. The Incarnations Of Lord Vishnu,"Jyotish Bannerjee, C. Legrand",Patience Cooper,Mythology,,1921.0,Hindi,Bollywood
Yashoda Nandan a.k.a. Yashoda's Son a.k.a. Shri Radha Krishna,"Dhirendranath Ganguly, Nitish Lahiri","Dhirendranath Ganguly, Sushiladevi, Manmatha Pal, Kunjalal Chakraborty, Pramodasundari, Amodini Dasi, Nitish Lahiri",Mythology,,1921.0,Hindi,Bollywood
Ahiravan Mahiravan Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Shanta Nalgunde, Ghanshyam Singh, Sane",Mythology,,1922.0,Hindi,Bollywood
Ajamil,Kanjibhai Rathod,"Khalil, Jamna, Homi Master, Gangaram",Devotional,,1922.0,Hindi,Bollywood
Andhare Alo a.k.a. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","Durga Rani, Lila Debi, Sisir Kumar Bhaduri, Naresh Mitra, Jogesh Choudhury, Kankabati",Social Drama,,1922.0,Hindi,Bollywood
